member_id,visit_date,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
222,2/9/2024,53,Female,Annual,Strength Training,89,593,22:39,Present
223,12/23/2024,52,Other,Monthly,HIIT,78,608,14:51,Present
224,7/9/2024,58,Female,Monthly,HIIT,23,227,22:05,Present
225,3/19/2024,27,Male,Monthly,Yoga,116,816,22:37,Present
226,5/12/2024,64,Male,Monthly,CrossFit,44,234,16:01,Absent
227,5/9/2024,24,Male,Quarterly,Strength Training,53,489,7:04,Present
228,3/4/2024,43,Male,Monthly,CrossFit,29,205,7:21,Present
229,5/3/2024,40,Other,Annual,Yoga,47,235,16:19,Absent
230,5/14/2024,41,Other,Quarterly,Cardio,85,512,7:31,Absent
231,9/4/2024,56,Other,Monthly,CrossFit,64,561,17:26,Absent
232,5/13/2024,25,Female,Annual,HIIT,45,404,12:57,Absent
233,8/7/2024,53,Male,Quarterly,HIIT,30,223,12:27,Absent
234,12/2/2024,18,Other,Annual,Cardio,42,248,11:51,Present
235,11/30/2024,20,Female,Quarterly,Strength Training,78,619,11:09,Present
236,12/22/2024,36,Female,Quarterly,Yoga,87,725,20:26,Absent
237,5/26/2024,50,Female,Annual,Yoga,117,959,11:35,Present
238,1/16/2024,62,Male,Monthly,Cardio,69,600,15:31,Absent
239,1/7/2024,36,Other,Annual,Cardio,94,735,15:39,Present
240,2/23/2024,30,Other,Annual,CrossFit,48,437,10:40,Absent
241,4/3/2024,33,Male,Annual,Yoga,101,714,11:18,Present
242,7/25/2024,55,Other,Monthly,Strength Training,105,867,5:35,Absent
243,10/12/2024,29,Other,Annual,Strength Training,112,654,16:57,Present
244,1/24/2024,64,Other,Annual,Strength Training,102,549,5:57,Absent
245,1/16/2024,44,Other,Annual,Strength Training,63,452,11:49,Absent
246,1/27/2024,18,Male,Annual,HIIT,36,328,5:12,Present
247,11/29/2024,47,Male,Quarterly,Strength Training,109,1040,19:58,Absent
248,4/14/2024,43,Male,Monthly,CrossFit,27,204,18:27,Present
249,9/22/2024,22,Male,Annual,Yoga,65,428,12:41,Absent
250,2/6/2024,50,Other,Monthly,CrossFit,58,505,22:17,Absent
251,2/4/2024,41,Other,Monthly,HIIT,68,465,21:12,Present
252,4/11/2024,60,Other,Monthly,Yoga,77,446,19:33,Absent
253,4/5/2024,29,Male,Annual,Strength Training,52,431,14:57,Present
254,6/26/2024,19,Male,Annual,Strength Training,40,362,10:13,Absent
255,6/25/2024,45,Other,Annual,Cardio,84,476,6:12,Absent
256,12/19/2024,53,Male,Monthly,Cardio,112,733,6:38,Present
257,2/20/2024,35,Male,Annual,Yoga,108,785,12:31,Present
258,12/2/2024,40,Male,Quarterly,CrossFit,92,782,8:39,Present
259,4/8/2024,49,Female,Quarterly,Cardio,87,622,18:24,Present
260,12/23/2024,24,Female,Annual,Strength Training,80,512,21:10,Absent
261,2/8/2024,45,Other,Quarterly,Cardio,56,491,6:08,Absent
262,2/18/2024,39,Female,Annual,CrossFit,31,171,15:47,Absent
263,1/15/2024,48,Female,Quarterly,Yoga,44,396,14:12,Absent
264,8/30/2024,55,Male,Monthly,Yoga,35,320,12:05,Present
265,7/9/2024,62,Female,Annual,Strength Training,75,639,17:48,Present
266,8/2/2024,64,Other,Monthly,Yoga,26,192,18:21,Present
267,10/9/2024,26,Other,Annual,Strength Training,78,500,15:38,Absent
268,6/26/2024,33,Female,Monthly,CrossFit,31,164,22:28,Absent
269,3/25/2024,49,Male,Quarterly,Strength Training,70,378,13:14,Present
270,7/13/2024,59,Female,Annual,HIIT,32,272,13:18,Absent
271,8/6/2024,63,Male,Quarterly,Yoga,120,1058,12:00,Absent
272,11/19/2024,23,Female,Quarterly,Strength Training,35,210,21:41,Absent
273,12/5/2024,65,Other,Annual,HIIT,36,279,11:56,Absent
274,4/18/2024,18,Other,Quarterly,Cardio,85,499,12:55,Absent
275,3/5/2024,53,Female,Annual,HIIT,61,415,13:41,Absent
276,7/26/2024,26,Female,Monthly,Cardio,53,429,20:38,Present
277,2/4/2024,25,Female,Quarterly,HIIT,106,640,22:52,Present
278,4/19/2024,38,Female,Quarterly,Cardio,114,1087,8:38,Absent
279,11/8/2024,21,Female,Annual,HIIT,44,302,16:00,Absent
280,9/25/2024,58,Male,Monthly,Yoga,34,201,12:40,Present
281,8/16/2024,35,Female,Quarterly,HIIT,88,618,19:08,Present
282,8/29/2024,27,Other,Annual,Cardio,32,310,13:27,Present
283,9/9/2024,24,Female,Monthly,Cardio,50,366,14:26,Absent
284,8/30/2024,19,Other,Quarterly,CrossFit,89,848,20:00,Absent
285,5/15/2024,61,Other,Monthly,Cardio,57,303,7:24,Absent
286,6/11/2024,19,Female,Annual,Cardio,98,931,16:39,Absent
287,4/13/2024,22,Other,Annual,Strength Training,114,939,5:36,Present
288,1/19/2024,53,Other,Annual,Cardio,29,177,14:50,Absent
289,6/28/2024,58,Other,Annual,Cardio,107,629,6:01,Absent
290,1/5/2024,20,Female,Monthly,HIIT,113,1049,7:49,Absent
291,4/22/2024,30,Male,Monthly,Yoga,95,668,11:28,Present
292,8/23/2024,60,Female,Quarterly,Yoga,119,994,17:54,Present
293,10/12/2024,26,Male,Annual,Strength Training,97,876,21:35,Present
294,5/30/2024,49,Female,Monthly,Cardio,89,655,13:23,Present
295,12/22/2024,64,Female,Monthly,CrossFit,54,404,5:23,Present
296,10/17/2024,41,Other,Annual,Yoga,72,642,5:02,Present
297,8/23/2024,52,Female,Quarterly,CrossFit,94,588,9:11,Absent
298,3/22/2024,24,Male,Monthly,Yoga,116,871,14:57,Absent
299,9/10/2024,47,Female,Quarterly,Cardio,120,900,10:31,Absent
300,4/7/2024,62,Other,Monthly,CrossFit,92,853,13:32,Present
301,9/27/2024,59,Male,Annual,CrossFit,42,283,22:14,Present
302,12/13/2024,38,Male,Monthly,HIIT,23,226,10:23,Absent
303,10/19/2024,50,Male,Quarterly,CrossFit,92,797,13:33,Absent
304,4/11/2024,57,Male,Annual,Cardio,108,949,6:48,Absent
305,11/2/2024,42,Other,Annual,Cardio,46,396,8:09,Present
306,10/1/2024,65,Male,Monthly,Strength Training,104,941,11:11,Absent
307,4/9/2024,23,Other,Monthly,Yoga,83,481,5:58,Present
308,5/21/2024,39,Male,Quarterly,Strength Training,91,830,22:57,Present
309,7/19/2024,19,Other,Monthly,Cardio,76,669,8:30,Present
310,6/9/2024,19,Female,Quarterly,Strength Training,46,380,12:44,Absent
311,8/1/2024,37,Other,Quarterly,CrossFit,120,964,22:42,Present
312,1/24/2024,31,Other,Quarterly,Cardio,54,441,17:00,Absent
313,12/1/2024,62,Female,Annual,HIIT,100,935,5:21,Present
314,3/30/2024,40,Other,Monthly,Yoga,99,599,11:27,Absent
315,2/13/2024,19,Male,Monthly,CrossFit,79,535,19:03,Present
316,7/21/2024,28,Other,Quarterly,Cardio,75,422,22:21,Absent
317,1/7/2024,36,Other,Monthly,Yoga,74,528,12:43,Present
318,3/17/2024,59,Female,Annual,Yoga,120,797,18:31,Present
319,7/6/2024,49,Male,Annual,HIIT,33,226,12:39,Absent
320,5/14/2024,35,Female,Monthly,Cardio,107,543,19:37,Absent
321,11/13/2024,64,Male,Annual,Yoga,98,494,7:07,Present
322,11/20/2024,61,Other,Quarterly,Strength Training,69,388,6:24,Absent
323,3/31/2024,57,Female,Quarterly,CrossFit,24,144,8:56,Absent
324,2/15/2024,47,Male,Annual,Strength Training,70,512,21:52,Present
325,6/18/2024,52,Male,Annual,HIIT,76,390,11:07,Present
326,4/22/2024,64,Male,Annual,Strength Training,35,198,21:54,Present
327,7/13/2024,50,Male,Quarterly,Yoga,31,305,9:53,Absent
328,6/25/2024,27,Male,Quarterly,CrossFit,90,551,7:48,Absent
329,7/26/2024,35,Female,Monthly,HIIT,51,453,14:58,Present
330,5/19/2024,63,Other,Annual,HIIT,47,340,5:44,Present
331,11/19/2024,56,Other,Quarterly,HIIT,62,315,22:33,Present
332,3/16/2024,57,Male,Quarterly,Yoga,64,609,13:29,Absent
333,6/17/2024,51,Female,Quarterly,CrossFit,92,599,14:54,Absent
334,9/16/2024,58,Male,Monthly,Cardio,24,168,8:41,Present
335,7/4/2024,53,Female,Annual,Cardio,80,755,14:04,Present
336,1/26/2024,34,Other,Monthly,Cardio,29,210,10:34,Absent
337,1/1/2024,57,Female,Quarterly,CrossFit,118,760,5:28,Present
338,4/10/2024,20,Female,Monthly,Cardio,116,1075,12:14,Present
339,10/8/2024,43,Other,Quarterly,CrossFit,36,285,9:34,Present
340,2/14/2024,27,Female,Quarterly,HIIT,100,750,15:38,Present
341,12/8/2024,36,Male,Monthly,CrossFit,46,257,11:09,Absent
342,11/15/2024,50,Male,Monthly,Yoga,37,327,15:34,Present
343,12/14/2024,27,Female,Monthly,Strength Training,48,354,21:09,Absent
344,5/22/2024,32,Other,Annual,CrossFit,119,1118,15:13,Absent
345,6/29/2024,44,Male,Annual,HIIT,20,180,13:36,Present
346,1/8/2024,26,Female,Quarterly,Cardio,118,813,12:44,Present
347,1/24/2024,33,Female,Quarterly,HIIT,104,814,17:55,Absent
348,4/17/2024,22,Male,Monthly,Strength Training,53,396,11:21,Absent
349,8/13/2024,36,Male,Monthly,Cardio,84,756,6:51,Present
350,3/17/2024,60,Other,Monthly,Yoga,83,750,7:21,Present
351,11/19/2024,28,Female,Monthly,Cardio,35,203,7:10,Present
352,10/11/2024,53,Other,Annual,CrossFit,79,448,15:58,Present
353,1/20/2024,58,Other,Quarterly,Cardio,25,201,18:19,Absent
354,10/28/2024,20,Male,Monthly,Cardio,116,997,19:31,Present
355,8/12/2024,46,Other,Quarterly,Cardio,66,621,17:54,Present
356,2/22/2024,65,Male,Monthly,Strength Training,73,605,13:44,Absent
357,2/27/2024,26,Female,Annual,Cardio,52,462,7:12,Absent
358,11/27/2024,48,Other,Annual,CrossFit,74,719,12:34,Absent
359,4/20/2024,59,Female,Annual,HIIT,48,332,13:08,Present
360,5/30/2024,47,Male,Quarterly,HIIT,31,192,21:19,Absent
361,8/31/2024,38,Other,Monthly,Cardio,111,900,21:55,Present
362,9/18/2024,49,Male,Quarterly,Strength Training,56,504,14:12,Present
363,2/3/2024,40,Male,Monthly,Cardio,36,272,17:17,Present
364,5/4/2024,33,Other,Monthly,HIIT,108,813,8:12,Present
365,9/20/2024,38,Male,Quarterly,Yoga,56,347,5:30,Present
366,1/20/2024,30,Male,Monthly,HIIT,80,611,18:32,Present
367,8/11/2024,22,Male,Monthly,Yoga,80,659,22:05,Present
368,6/26/2024,40,Other,Annual,HIIT,55,511,16:35,Absent
369,10/19/2024,44,Male,Monthly,CrossFit,92,642,19:37,Present
370,9/20/2024,59,Female,Monthly,Cardio,40,391,14:28,Present
371,4/26/2024,54,Female,Annual,Yoga,63,389,19:28,Present
372,9/6/2024,51,Female,Monthly,Strength Training,55,424,9:40,Present
373,2/26/2024,45,Female,Quarterly,Yoga,46,418,18:07,Present
374,1/29/2024,34,Male,Monthly,Strength Training,21,107,6:46,Absent
375,2/1/2024,51,Female,Monthly,CrossFit,63,448,15:33,Absent
376,7/21/2024,44,Male,Quarterly,Strength Training,99,671,9:12,Absent
377,8/10/2024,48,Other,Quarterly,Cardio,45,404,16:49,Absent
378,10/21/2024,18,Other,Annual,Cardio,27,158,8:44,Absent
379,7/6/2024,51,Female,Quarterly,Yoga,52,390,12:14,Absent
380,9/18/2024,51,Male,Monthly,Cardio,63,476,11:59,Present
381,8/31/2024,64,Male,Annual,Strength Training,59,369,15:39,Present
382,12/22/2024,40,Male,Quarterly,Cardio,75,671,6:07,Absent
383,4/29/2024,23,Other,Quarterly,Strength Training,35,203,7:42,Absent
384,12/2/2024,20,Other,Monthly,Cardio,85,835,5:18,Absent
385,8/1/2024,54,Other,Annual,Cardio,43,385,14:59,Absent
386,7/4/2024,59,Male,Quarterly,Cardio,71,551,16:52,Present
